"ticker","company_name","subsector","fiscal_year","operating_cash_flow","capital_expenditures","net_income","free_cash_flow","fcf_margin","cash_flow_quality_ratio"
"AAPL","Apple Inc.","Hardware & Devices",2019,69391000000.0,10495000000.0,55256000000.0,58896000000.0,0.2264,1.2558
"AAPL","Apple Inc.","Hardware & Devices",2020,80674000000.0,7309000000.0,57411000000.0,73365000000.0,0.2673,1.4052
"AAPL","Apple Inc.","Hardware & Devices",2021,104038000000.0,11085000000.0,94680000000.0,92953000000.0,0.2541,1.0988
"AAPL","Apple Inc.","Hardware & Devices",2022,122151000000.0,10708000000.0,99803000000.0,111443000000.0,0.2826,1.2239
"AAPL","Apple Inc.","Hardware & Devices",2023,110543000000.0,10959000000.0,96995000000.0,99584000000.0,0.2598,1.1397
"ADBE","Adobe Inc.","Software & Cloud",2019,4421813000.0,394479000.0,2951458000.0,4027334000.0,0.3605,1.4982
"ADBE","Adobe Inc.","Software & Cloud",2020,5727000000.0,419000000.0,5260000000.0,5308000000.0,0.4125,1.0888
"ADBE","Adobe Inc.","Software & Cloud",2021,7230000000.0,348000000.0,4822000000.0,6882000000.0,0.4360,1.4994
"ADBE","Adobe Inc.","Software & Cloud",2022,7838000000.0,442000000.0,4756000000.0,7396000000.0,0.4201,1.6480
"ADBE","Adobe Inc.","Software & Cloud",2023,7302000000.0,360000000.0,5428000000.0,6942000000.0,0.3577,1.3452
"AMZN","Amazon.com Inc.","E-Commerce & Cloud",2019,38514000000.0,NULL,11588000000.0,NULL,NULL,3.3236
"AMZN","Amazon.com Inc.","E-Commerce & Cloud",2020,66064000000.0,NULL,21331000000.0,NULL,NULL,3.0971
"AMZN","Amazon.com Inc.","E-Commerce & Cloud",2021,46327000000.0,NULL,33364000000.0,NULL,NULL,1.3885
"AMZN","Amazon.com Inc.","E-Commerce & Cloud",2022,46752000000.0,NULL,-2722000000.0,NULL,NULL,-17.1756
"AMZN","Amazon.com Inc.","E-Commerce & Cloud",2023,84946000000.0,NULL,30425000000.0,NULL,NULL,2.7920
"AVGO","Broadcom Inc.","Semiconductors",2019,9697000000.0,432000000.0,2724000000.0,9265000000.0,0.4100,3.5598
"AVGO","Broadcom Inc.","Semiconductors",2020,12061000000.0,463000000.0,2960000000.0,11598000000.0,0.4855,4.0747
"AVGO","Broadcom Inc.","Semiconductors",2021,13764000000.0,443000000.0,6736000000.0,13321000000.0,0.4853,2.0433
"AVGO","Broadcom Inc.","Semiconductors",2022,16736000000.0,424000000.0,11495000000.0,16312000000.0,0.4913,1.4559
"AVGO","Broadcom Inc.","Semiconductors",2023,18085000000.0,452000000.0,14082000000.0,17633000000.0,0.4923,1.2843
"CRM","Salesforce Inc.","Software & Cloud",2019,3398000000.0,595000000.0,1110000000.0,2803000000.0,0.2110,3.0613
"CRM","Salesforce Inc.","Software & Cloud",2020,4801000000.0,710000000.0,4072000000.0,4091000000.0,0.1925,1.1790
"CRM","Salesforce Inc.","Software & Cloud",2021,4801000000.0,710000000.0,4072000000.0,4091000000.0,0.1925,1.1790
"CRM","Salesforce Inc.","Software & Cloud",2022,6000000000.0,717000000.0,1444000000.0,5283000000.0,0.1994,4.1551
"CRM","Salesforce Inc.","Software & Cloud",2023,7111000000.0,798000000.0,208000000.0,6313000000.0,0.2014,34.1875
"CSCO","Cisco Systems Inc.","Networking Hardware",2019,15831000000.0,909000000.0,11621000000.0,14922000000.0,0.2875,1.3623
"CSCO","Cisco Systems Inc.","Networking Hardware",2020,15426000000.0,770000000.0,11214000000.0,14656000000.0,0.2973,1.3756
"CSCO","Cisco Systems Inc.","Networking Hardware",2021,15454000000.0,692000000.0,10591000000.0,14762000000.0,0.2963,1.4592
"CSCO","Cisco Systems Inc.","Networking Hardware",2022,13226000000.0,477000000.0,11812000000.0,12749000000.0,0.2473,1.1197
"CSCO","Cisco Systems Inc.","Networking Hardware",2023,19886000000.0,849000000.0,12613000000.0,19037000000.0,0.3340,1.5766
"GOOGL","Alphabet Inc.","Internet & Advertising",2019,54520000000.0,23548000000.0,34343000000.0,30972000000.0,0.1914,1.5875
"GOOGL","Alphabet Inc.","Internet & Advertising",2020,65124000000.0,22281000000.0,40269000000.0,42843000000.0,0.2347,1.6172
